dataset,data_name,data_split
LAMIS,P414_898_R_CC,Train
LAMIS,P392_792_R_CC,Train
LAMIS,P412_08_L_MLO,Train
LAMIS,P88_44359_L_CC,Train
LAMIS,P341_53408_L_MLO,Train
LAMIS,P105_554_L_MLO,Train
LAMIS,P8_77970_L_MLO,Train
LAMIS,P185_91519_R_CC,Train
LAMIS,P450_639_L_MLO,Train
LAMIS,PM34_651_L_MLO,Train
LAMIS,P54_22_L_MLO,Train
LAMIS,P289_50841_L_MLO,Train
LAMIS,P26_73746_L_MLO,Train
LAMIS,P34_26020_L_CC,Train
LAMIS,P481_497_R_CC,Train
LAMIS,P45_71940_R_CC,Train
LAMIS,P222_35530_L_MLO,Train
LAMIS,P296_71813_L_MLO,Train
LAMIS,P351_608_L_MLO,Train
LAMIS,P422_848_L_MLO,Train
LAMIS,P416_872_L_MLO,Train
LAMIS,P255_18598_R_MLO,Train
LAMIS,P457_607_L_MLO,Train
LAMIS,P182_72202_R_CC,Train
LAMIS,P203_72154_R_MLO,Train
LAMIS,P204_465_R_CC,Train
LAMIS,P245_53988_R_CC,Train
LAMIS,P279_0000000000_L_CC,Train
LAMIS,P31_70742_R_MLO,Train
LAMIS,P363_673_L_CC,Train
LAMIS,P230_83488_L_MLO,Train
LAMIS,P5_76843_L_MLO,Train
LAMIS,P326_79839_R_CC,Train
LAMIS,P258_24457_L_MLO,Train
LAMIS,P519_473_R_CC,Train
LAMIS,P399_679_R_MLO,Train
LAMIS,P125_52740_R_CC,Train
LAMIS,P288_40108_R_CC,Train
LAMIS,P328_84755_L_CC,Train
LAMIS,P132_74573_L_MLO,Train
LAMIS,P405_32_R_CC,Train
LAMIS,P387_696_R_MLO,Train
LAMIS,P142_640_R_MLO,Train
LAMIS,P124_67443_L_CC,Train
LAMIS,P365_10_R_CC,Train
LAMIS,P504_598_R_CC,Train
LAMIS,P148_53920_L_MLO,Train
LAMIS,P479_501_L_CC,Train
LAMIS,P359_781_L_MLO,Train
LAMIS,P431_816_L_MLO,Train
LAMIS,P263_53684_R_MLO,Train
LAMIS,PM39_43179_L_CC,Train
LAMIS,P367_603_R_MLO,Train
LAMIS,P472_527_R_CC,Train
LAMIS,P151_57229_L_CC,Train
LAMIS,P41_01_R_CC,Train
LAMIS,P302_24453_L_CC,Train
LAMIS,P322_65774_L_MLO,Train
LAMIS,P194_41363_L_MLO,Train
LAMIS,PQ16_43400_L_MLO,Train
LAMIS,P78_52750_R_MLO,Train
LAMIS,P269_78412_R_MLO,Train
LAMIS,P136_50303_L_MLO,Train
LAMIS,P61_60904_L_MLO,Train
LAMIS,PM27_53445_L_CC,Train
LAMIS,P443_661_L_CC,Train
LAMIS,P157_83773_R_MLO,Train
LAMIS,P369_643_R_MLO,Train
LAMIS,P328_84755_R_CC,Train
LAMIS,P234_74085_L_MLO,Train
LAMIS,P423_845_R_CC,Train
LAMIS,P186_43444_L_MLO,Train
LAMIS,PQ6_81210_R_MLO,Train
LAMIS,P318_50630_R_CC,Train
LAMIS,P114_52753_L_CC,Train
LAMIS,P345_50753_R_MLO,Train
LAMIS,P49_43983_L_CC,Train
LAMIS,P129_64044_L_MLO,Train
LAMIS,P126_51212_L_MLO,Train
LAMIS,P370_535_L_MLO,Train
LAMIS,P403_36_R_MLO,Train
LAMIS,P318_50630_L_CC,Train
LAMIS,P439_745_R_CC,Train
LAMIS,P460_592_R_MLO,Train
LAMIS,P370_535_R_MLO,Train
LAMIS,P408_24_R_MLO,Train
LAMIS,P429_823_R_CC,Train
LAMIS,PM20_110_L_CC,Train
LAMIS,P221_77667_R_CC,Train
LAMIS,P284_70402_R_CC,Train
LAMIS,P140_65406_L_CC,Train
LAMIS,P119_81771_R_MLO,Train
LAMIS,P387_696_R_CC,Train
LAMIS,PQ24_92203_R_MLO,Train
LAMIS,P180_93997_R_MLO,Train
LAMIS,P246_54521_L_MLO,Train
LAMIS,P285_49009_R_CC,Train
LAMIS,P186_43444_R_MLO,Train
LAMIS,P367_603_R_CC,Train
LAMIS,P156_78730_L_CC,Train
LAMIS,P508_548_R_CC,Train
LAMIS,P351_608_R_MLO,Train
LAMIS,P193_45475_R_CC,Train
LAMIS,P464_577_L_CC,Train
LAMIS,P335_46831_L_CC,Train
LAMIS,P73_821_R_MLO,Train
LAMIS,P137_27228_L_CC,Train
LAMIS,P344_65503_R_MLO,Train
LAMIS,P11_79245_L_CC,Train
LAMIS,P377_15_L_CC,Train
LAMIS,P319_66020_L_CC,Train
LAMIS,P301_65475_R_CC,Train
LAMIS,P24_865_R_CC,Train
LAMIS,P62_54032_R_MLO,Train
LAMIS,P329_00000_R_MLO,Train
LAMIS,P395_844_R_MLO,Train
LAMIS,P84_63588_R_CC,Train
LAMIS,P449_644_R_MLO,Train
LAMIS,P520_757_L_MLO,Train
LAMIS,P98_72334_R_MLO,Train
LAMIS,P253_41897_L_CC,Train
LAMIS,P312_57573_R_CC,Train
LAMIS,P286_20678_L_CC,Train
LAMIS,P448_649_R_MLO,Train
LAMIS,PQ17_63290_R_CC,Train
LAMIS,P113_684_R_MLO,Train
LAMIS,P513_795_R_CC,Train
LAMIS,P362_626_R_CC,Train
LAMIS,P64_53341_L_CC,Train
LAMIS,P269_78412_L_MLO,Train
LAMIS,P451_638_L_MLO,Train
LAMIS,P273_79922_R_CC,Train
LAMIS,P131_58343_L_MLO,Train
LAMIS,P120_84775_L_MLO,Train
LAMIS,P251_45877_R_MLO,Train
LAMIS,P35_71233_L_MLO,Train
LAMIS,P4_76565_L_MLO,Train
LAMIS,P290_73457_R_CC,Train
LAMIS,P509_531_R_CC,Train
LAMIS,P199_64358_L_CC,Train
LAMIS,P202_43969_R_CC,Train
LAMIS,P143_63567_R_MLO,Train
LAMIS,P307_24849_R_MLO,Train
LAMIS,P329_00000_L_CC,Train
LAMIS,P16_81833_R_CC,Train
LAMIS,P498_764_R_CC,Train
LAMIS,PM30_493_R_MLO,Train
LAMIS,P446_654_R_MLO,Train
LAMIS,P249_15236_R_MLO,Train
LAMIS,P86_42363_R_CC,Train
LAMIS,P190_4170_R_MLO,Train
LAMIS,P470_532_R_MLO,Train
LAMIS,P71_69666_R_CC,Train
LAMIS,P457_607_L_CC,Train
LAMIS,P207_47432_R_MLO,Train
LAMIS,P142_640_R_CC,Train
LAMIS,P58_50_R_CC,Train
LAMIS,P23_84492_R_CC,Train
LAMIS,P394_570_R_MLO,Train
LAMIS,P142_640_L_CC,Train
LAMIS,P287_53407_R_MLO,Train
LAMIS,P400_53402_R_MLO,Train
LAMIS,P94_68179_R_MLO,Train
LAMIS,P79_25634_L_MLO,Train
LAMIS,P337_73043_R_MLO,Train
LAMIS,P242_42814_R_MLO,Train
LAMIS,P109_774_L_MLO,Train
LAMIS,PM2_667_R_CC,Train
LAMIS,P444_658_R_MLO,Train
LAMIS,P393_793_R_CC,Train
LAMIS,P460_592_L_CC,Train
LAMIS,P469_542_L_CC,Train
LAMIS,P286_20678_R_MLO,Train
LAMIS,P176_000000000000_R_CC,Train
LAMIS,P246_54521_L_CC,Train
LAMIS,P85_48093_R_MLO,Train
LAMIS,P223_41119_R_CC,Train
LAMIS,P29_44143_L_MLO,Train
LAMIS,P156_78730_R_CC,Train
LAMIS,P418_867_R_MLO,Train
LAMIS,P465_576_R_CC,Train
LAMIS,P41_01_R_MLO,Train
LAMIS,P64_53341_R_CC,Train
LAMIS,PQ21_81856_R_CC,Train
LAMIS,P138_59487_L_MLO,Train
LAMIS,P150_51880_L_MLO,Train
LAMIS,P57_37_R_CC,Train
LAMIS,P100_605_R_MLO,Train
LAMIS,P372_522_R_MLO,Train
LAMIS,P317_24539_L_MLO,Train
LAMIS,P444_658_R_CC,Train
LAMIS,P263_53684_L_MLO,Train
LAMIS,P14_14381_R_CC,Train
LAMIS,P174_44_R_CC,Train
LAMIS,P329_00000_R_CC,Train
LAMIS,P74_53675_R_MLO,Train
LAMIS,P199_64358_R_MLO,Train
LAMIS,P353_794_L_MLO,Train
LAMIS,P312_57573_R_MLO,Train
LAMIS,P177_43119_L_MLO,Train
LAMIS,PM22_54219_R_MLO,Train
LAMIS,P108_44_R_MLO,Train
LAMIS,P89_22944_L_MLO,Train
LAMIS,P136_50303_R_MLO,Train
LAMIS,P271_79219_R_MLO,Train
LAMIS,P498_764_L_MLO,Train
LAMIS,P356_84_L_MLO,Train
LAMIS,P27_39406_R_MLO,Train
LAMIS,P479_501_R_MLO,Train
LAMIS,P466_568_R_CC,Train
LAMIS,P23_84492_L_MLO,Train
LAMIS,P97_66030_R_CC,Train
LAMIS,P344_65503_L_MLO,Train
LAMIS,P18_680_L_MLO,Train
LAMIS,P507_549_R_MLO,Train
LAMIS,P196_89068_R_MLO,Train
LAMIS,P517_659_L_MLO,Train
LAMIS,P286_20678_L_MLO,Train
LAMIS,P151_57229_R_MLO,Train
LAMIS,P220_76249_R_MLO,Train
LAMIS,P318_50630_L_MLO,Train
LAMIS,PM18_45885_L_CC,Train
LAMIS,P158_69664_L_MLO,Train
LAMIS,PQ13_25953_L_MLO,Train
LAMIS,P230_83488_R_CC,Train
LAMIS,P85_48093_L_CC,Train
LAMIS,P10_79226_R_CC,Train
LAMIS,P327_1887_L_CC,Train
LAMIS,P84_63588_L_CC,Train
LAMIS,P152_72585_L_MLO,Train
LAMIS,P239_60300_L_MLO,Train
LAMIS,P460_592_R_CC,Train
LAMIS,P511_449_L_MLO,Train
LAMIS,PQ11_65441_L_CC,Train
LAMIS,P354_632_L_CC,Train
LAMIS,P368_83_R_CC,Train
LAMIS,P193_45475_R_MLO,Train
LAMIS,P310_73956_R_MLO,Train
LAMIS,P149_27489_R_CC,Train
LAMIS,P294_61076_R_MLO,Train
LAMIS,P196_89068_L_CC,Train
LAMIS,P100_605_R_CC,Train
LAMIS,P235_53648_L_CC,Train
LAMIS,P133_58080_R_CC,Train
LAMIS,P285_49009_L_CC,Train
LAMIS,P369_643_R_CC,Train
LAMIS,P160_53839_L_CC,Train
LAMIS,P299_51119_R_CC,Train
LAMIS,P293_54343_L_CC,Train
LAMIS,P277_84491_L_MLO,Train
LAMIS,P33_65208_R_CC,Train
LAMIS,P39_12366665555444_L_MLO,Train
LAMIS,P467_547_R_MLO,Train
LAMIS,P130_51341_R_MLO,Train
LAMIS,P195_93896_L_MLO,Train
LAMIS,P56_29895_R_CC,Train
LAMIS,P356_84_R_CC,Train
LAMIS,P488_461_R_MLO,Train
LAMIS,P295_66780_L_CC,Train
LAMIS,P161_44743_L_MLO,Train
LAMIS,PM39_43179_L_MLO,Train
LAMIS,P135_54010_L_MLO,Train
LAMIS,PM20_110_L_MLO,Train
LAMIS,P482_496_L_CC,Train
LAMIS,P107_619_L_MLO,Train
LAMIS,P82_773_L_MLO,Train
LAMIS,P270_78916_L_MLO,Train
LAMIS,P20_59_L_CC,Train
LAMIS,P181_90584_R_CC,Train
LAMIS,P478_502_R_CC,Train
LAMIS,P123_57808_R_MLO,Train
LAMIS,P160_53839_R_CC,Train
LAMIS,P71_69666_L_CC,Train
LAMIS,P436_762_R_MLO,Train
LAMIS,P149_27489_L_MLO,Train
LAMIS,P330_45577_L_MLO,Train
LAMIS,P347_71_L_CC,Train
LAMIS,P75_688_R_MLO,Train
LAMIS,P151_57229_R_CC,Train
LAMIS,P210_24827_R_CC,Train
LAMIS,P67_87_R_CC,Train
LAMIS,P317_24539_L_CC,Train
LAMIS,P17_81945_L_MLO,Train
LAMIS,P105_554_L_CC,Train
LAMIS,P433_783_L_MLO,Train
LAMIS,P470_532_L_MLO,Train
LAMIS,P209_51621_L_MLO,Train
LAMIS,P513_795_L_MLO,Train
LAMIS,P278_6586_R_MLO,Train
